x [m], y [m], z [m], zrotation [deg], SAR [w/kg]
3.2,0.8,2,14.03624,0.00151
3.2,1.6,-2,26.56505,0.00101
3.2,1.6,-1,26.56505,0.01611
3.2,1.6,0,26.56505,0.04544
3.2,1.6,1,26.56505,0.01699
3.2,1.6,2,26.56505,0.00111
3.2,2.6,-2,39.09386,0.00067
3.2,2.6,-1,39.09386,0.00999
3.2,2.6,0,39.09386,0.0281
3.2,2.6,1,39.09386,0.01069
3.2,2.6,2,39.09386,0.0007
3.2,4,-2,51.34019,0.00041
3.2,4,-1,51.34019,0.00533
3.2,4,0,51.34019,0.01508
3.2,4,1,51.34019,0.00583
3.2,4,2,51.34019,0.0005
3.2,6,-2,61.92751,0.00031
3.2,6,-1,61.92751,0.00277
3.2,6,0,61.92751,0.00734
3.2,6,1,61.92751,0.00298
3.2,6,2,61.92751,0.00034
5,0,-2,0,0.00105
5,0,-1,0,0.01468
5,0,0,0,0.04125
5,0,1,0,0.01623
5,0,2,0,0.00126
5,0.3,-2,3.43363,0.00104
5,0.3,-1,3.43363,0.01458
5,0.3,0,3.43363,0.04089
5,0.3,1,3.43363,0.01615
5,0.3,2,3.43363,0.00126
5,0.8,-2,9.09028,0.00101
5,0.8,-1,9.09028,0.01405
5,0.8,0,9.09028,0.03984
5,0.8,1,9.09028,0.01554
5,0.8,2,9.09028,0.00123
5,1.6,-2,17.74467,0.00094
5,1.6,-1,17.74467,0.01237
5,1.6,0,17.74467,0.03514
5,1.6,1,17.74467,0.01361
5,1.6,2,17.74467,0.00115
5,2.6,-2,27.47443,0.00083
5,2.6,-1,27.47443,0.00965
5,2.6,0,27.47443,0.02716
5,2.6,1,27.47443,0.01069
5,2.6,2,27.47443,0.00101
5,4,-2,38.65981,0.00069
5,4,-1,38.65981,0.00663
5,4,0,38.65981,0.01819
5,4,1,38.65981,0.00726
5,4,2,38.65981,0.00076
5,6,-2,50.19443,0.00047
5,6,-1,50.19443,0.00389
5,6,0,50.19443,0.00976
5,6,1,50.19443,0.00413
5,6,2,50.19443,0.0005
7.3,0,-2,0,0.00122
7.3,0,-1,0,0.01055
7.3,0,0,0,0.02773
7.3,0,1,0,0.01133
7.3,0,2,0,0.00129
7.3,0.3,-2,2.3533,0.00121
7.3,0.3,-1,2.3533,0.01052
7.3,0.3,0,2.3533,0.02759
7.3,0.3,1,2.3533,0.0113
7.3,0.3,2,2.3533,0.00129
7.3,0.8,-2,6.25403,0.0012
7.3,0.8,-1,6.25403,0.01033
7.3,0.8,0,6.25403,0.02677
7.3,0.8,1,6.25403,0.01114
7.3,0.8,2,6.25403,0.00127
7.3,1.6,-2,12.36249,0.00114
7.3,1.6,-1,12.36249,0.00974
7.3,1.6,0,12.36249,0.02527
7.3,1.6,1,12.36249,0.01043
7.3,1.6,2,12.36249,0.00121
7.3,2.6,-2,19.60409,0.00103
7.3,2.6,-1,19.60409,0.00868
7.3,2.6,0,19.60409,0.02206
7.3,2.6,1,19.60409,0.00924
7.3,2.6,2,19.60409,0.00109
7.3,4,-2,28.72033,0.00085
7.3,4,-1,28.72033,0.0069
7.3,4,0,28.72033,0.01692
7.3,4,1,28.72033,0.00733
7.3,4,2,28.72033,0.00092
7.3,6,-2,39.41739,0.00062
7.3,6,-1,39.41739,0.0048
7.3,6,0,39.41739,0.01081
7.3,6,1,39.41739,0.005
7.3,6,2,39.41739,0.00069
10,0,-2,0,0.00112
10,0,-1,0,0.00837
10,0,0,0,0.01827
10,0,1,0,0.00874
10,0,2,0,0.00125
10,0.3,-2,1.71836,0.00112
10,0.3,-1,1.71836,0.00835
10,0.3,0,1.71836,0.01822
10,0.3,1,1.71836,0.00873
10,0.3,2,1.71836,0.00125
10,0.8,-2,4.57392,0.00111
10,0.8,-1,4.57392,0.00828
10,0.8,0,4.57392,0.01797
10,0.8,1,4.57392,0.00869
10,0.8,2,4.57392,0.00124
10,1.6,-2,9.09028,0.00109
10,1.6,-1,9.09028,0.00803
10,1.6,0,9.09028,0.01745
10,1.6,1,9.09028,0.00837
10,1.6,2,9.09028,0.00121
10,2.6,-2,14.57422,0.00103
10,2.6,-1,14.57422,0.00751
10,2.6,0,14.57422,0.01602
