x,y,z,zrotation,SARwb
1.3,0.36,1.35,23.63,0.02308
1.3,0.36,2,23.63,0.00873
1.3,0.6,-2,36.09,0.00728
1.3,0.6,-1.35,36.09,0.01419
1.3,0.6,-0.75,36.09,0.05308
1.3,0.6,-0.3,36.09,0.08772
1.3,0.6,0,36.09,0.09102
1.3,0.6,0.3,36.09,0.07797
1.3,0.6,0.75,36.09,0.04431
1.3,0.6,1.35,36.09,0.01506
1.3,0.6,2,36.09,0.00889
1.3,0.9,-2,47.56,0.00724
1.3,0.9,-1.35,47.56,0.00859
1.3,0.9,-0.75,47.56,0.01754
1.3,0.9,-0.3,47.56,0.0251
1.3,0.9,0,47.56,0.02567
1.3,0.9,0.3,47.56,0.02279
1.3,0.9,0.75,47.56,0.01526
1.3,0.9,1.35,47.56,0.00948
1.3,0.9,2,47.56,0.00875
1.3,1.4,-2,59.55,0.00616
1.3,1.4,-1.35,59.55,0.00567
1.3,1.4,-0.75,59.55,0.00522
1.3,1.4,-0.3,59.55,0.00503
1.3,1.4,0,59.55,0.00498
1.3,1.4,0.3,59.55,0.00512
1.3,1.4,0.75,59.55,0.00553
1.3,1.4,1.35,59.55,0.00665
1.3,1.4,2,59.55,0.00744
1.3,2,-2,67.63,0.00412
1.3,2,-1.35,67.63,0.00364
1.3,2,-0.75,67.63,0.00303
1.3,2,-0.3,67.63,0.00267
1.3,2,0,67.63,0.00265
1.3,2,0.3,67.63,0.00284
1.3,2,0.75,67.63,0.0034
1.3,2,1.35,67.63,0.00436
1.3,2,2,67.63,0.00504
1.9,0,-2,0,0.00848
1.9,0,-1.35,0,0.04102
1.9,0,-0.75,0,0.11441
1.9,0,-0.3,0,0.16187
1.9,0,0,0,0.16913
1.9,0,0.3,0,0.15479
1.9,0,0.75,0,0.10145
1.9,0,1.35,0,0.03832
1.9,0,2,0,0.00875
1.9,0.1,-2,4.02,0.0084
1.9,0.1,-1.35,4.02,0.04049
1.9,0.1,-0.75,4.02,0.11279
1.9,0.1,-0.3,4.02,0.15963
1.9,0.1,0,4.02,0.1668
1.9,0.1,0.3,4.02,0.15257
1.9,0.1,0.75,4.02,0.09993
1.9,0.1,1.35,4.02,0.0378
1.9,0.1,2,4.02,0.00867
1.9,0.2,-2,8,0.00817
1.9,0.2,-1.35,8,0.03892
1.9,0.2,-0.75,8,0.10804
1.9,0.2,-0.3,8,0.15303
1.9,0.2,0,8,0.15985
1.9,0.2,0.3,8,0.14591
1.9,0.2,0.75,8,0.09547
1.9,0.2,1.35,8,0.0363
1.9,0.2,2,8,0.00844
1.9,0.36,-2,14.2,0.00753
1.9,0.36,-1.35,14.2,0.03459
1.9,0.36,-0.75,14.2,0.09492
1.9,0.36,-0.3,14.2,0.13425
1.9,0.36,0,14.2,0.13974
1.9,0.36,0.3,14.2,0.12675
1.9,0.36,0.75,14.2,0.08332
1.9,0.36,1.35,14.2,0.03218
1.9,0.36,2,14.2,0.00781
1.9,0.6,-2,22.86,0.00621
1.9,0.6,-1.35,22.86,0.02566
1.9,0.6,-0.75,22.86,0.06786
1.9,0.6,-0.3,22.86,0.09429
1.9,0.6,0,22.86,0.09748
