x,y,z,zrotation,SARwb
  -0.50000,   2.00000,  -0.30000, 104.04000,   0.00062
  -0.50000,   2.00000,   0.00000, 104.04000,   0.00066
  -0.50000,   2.00000,   0.30000, 104.04000,   0.00080
  -0.50000,   2.00000,   0.81000, 104.04000,   0.00117
  -0.50000,   2.00000,   1.35000, 104.04000,   0.00156
  -0.50000,   2.00000,   2.00000, 104.04000,   0.00170
  -0.20000,   0.00000,  -2.00000, 180.00000,   0.00512
  -0.20000,   0.00000,  -1.35000, 180.00000,   0.00895
  -0.20000,   0.00000,  -0.81000, 180.00000,   0.00979
  -0.20000,   0.00000,  -0.30000, 180.00000,   0.01516
  -0.20000,   0.00000,   0.00000, 180.00000,   0.01664
  -0.20000,   0.00000,   0.30000, 180.00000,   0.01379
  -0.20000,   0.00000,   0.81000, 180.00000,   0.01562
  -0.20000,   0.00000,   1.35000, 180.00000,   0.01353
  -0.20000,   0.00000,   2.00000, 180.00000,   0.00807
  -0.20000,   0.10000,  -2.00000, 153.43000,   0.00511
  -0.20000,   0.10000,  -1.35000, 153.43000,   0.00936
  -0.20000,   0.10000,  -0.81000, 153.43000,   0.01062
  -0.20000,   0.10000,  -0.30000, 153.43000,   0.01518
  -0.20000,   0.10000,   0.00000, 153.43000,   0.01684
  -0.20000,   0.10000,   0.30000, 153.43000,   0.01524
  -0.20000,   0.10000,   0.81000, 153.43000,   0.01767
  -0.20000,   0.10000,   1.35000, 153.43000,   0.01379
  -0.20000,   0.10000,   2.00000, 153.43000,   0.00792
  -0.20000,   0.20000,  -2.00000, 135.00000,   0.00508
  -0.20000,   0.20000,  -1.35000, 135.00000,   0.00990
  -0.20000,   0.20000,  -0.81000, 135.00000,   0.01196
  -0.20000,   0.20000,  -0.30000, 135.00000,   0.01500
  -0.20000,   0.20000,   0.00000, 135.00000,   0.01686
  -0.20000,   0.20000,   0.30000, 135.00000,   0.01766
  -0.20000,   0.20000,   0.81000, 135.00000,   0.01889
  -0.20000,   0.20000,   1.35000, 135.00000,   0.01413
  -0.20000,   0.20000,   2.00000, 135.00000,   0.00760
  -0.20000,   0.36000,  -2.00000, 119.05000,   0.00492
  -0.20000,   0.36000,  -1.35000, 119.05000,   0.00984
  -0.20000,   0.36000,  -0.81000, 119.05000,   0.01274
  -0.20000,   0.36000,  -0.30000, 119.05000,   0.01372
  -0.20000,   0.36000,   0.00000, 119.05000,   0.01521
  -0.20000,   0.36000,   0.30000, 119.05000,   0.01640
  -0.20000,   0.36000,   0.81000, 119.05000,   0.01780
  -0.20000,   0.36000,   1.35000, 119.05000,   0.01377
  -0.20000,   0.36000,   2.00000, 119.05000,   0.00704
  -0.20000,   0.60000,  -2.00000, 108.43000,   0.00442
  -0.20000,   0.60000,  -1.35000, 108.43000,   0.00833
  -0.20000,   0.60000,  -0.81000, 108.43000,   0.00975
  -0.20000,   0.60000,  -0.30000, 108.43000,   0.00972
  -0.20000,   0.60000,   0.00000, 108.43000,   0.01059
  -0.20000,   0.60000,   0.30000, 108.43000,   0.01177
  -0.20000,   0.60000,   0.81000, 108.43000,   0.01348
  -0.20000,   0.60000,   1.35000, 108.43000,   0.01130
  -0.20000,   0.60000,   2.00000, 108.43000,   0.00619
  -0.20000,   0.90000,  -2.00000, 102.53000,   0.00352
