f[MHz],er,sigma [S/m],Pabs [W],SAR (whole body average) [W/kg]
200,75.0,0.72,0.0015577,2.5648e-05
200,97.5,0.18,0.001731,2.8501e-05
200,97.5,0.315,0.0016898,2.7822e-05
200,97.5,0.45,0.00164,2.7003e-05
200,97.5,0.585,0.0015845,2.6089e-05
200,97.5,0.72,0.0015277,2.5154e-05
200,120.0,0.18,0.0015601,2.5687e-05
200,120.0,0.315,0.0015915,2.6204e-05
200,120.0,0.45,0.0015683,2.5821e-05
200,120.0,0.585,0.0015269,2.5141e-05
200,120.0,0.72,0.0014805,2.4377e-05
300,30.0,0.18,0.0014594,2.403e-05
300,30.0,0.315,0.0014225,2.3421e-05
300,30.0,0.45,0.0013512,2.2248e-05
300,30.0,0.585,0.0012767,2.102e-05
300,30.0,0.72,0.001208,1.989e-05
300,52.5,0.18,0.0012556,2.0673e-05
300,52.5,0.315,0.0012852,2.1161e-05
300,52.5,0.45,0.0012629,2.0794e-05
300,52.5,0.585,0.001224,2.0154e-05
300,52.5,0.72,0.0011808,1.9442e-05
300,75.0,0.18,0.0011083,1.8248e-05
300,75.0,0.315,0.0011429,1.8818e-05
300,75.0,0.45,0.0011448,1.8849e-05
300,75.0,0.585,0.0011325,1.8646e-05
300,75.0,0.72,0.0011122,1.8313e-05
300,97.5,0.18,0.0010241,1.6862e-05
300,97.5,0.315,0.0010652,1.7538e-05
300,97.5,0.45,0.0010718,1.7648e-05
300,97.5,0.585,0.0010657,1.7546e-05
300,97.5,0.72,0.0010532,1.7341e-05
300,120.0,0.18,0.0010981,1.8081e-05
300,120.0,0.315,0.0010661,1.7553e-05
300,120.0,0.45,0.0010425,1.7164e-05
300,120.0,0.585,0.0010243,1.6865e-05
300,120.0,0.72,0.0010086,1.6606e-05
400,24.0,0.18,0.0014534,2.393e-05
400,24.0,0.315,0.0014236,2.344e-05
400,24.0,0.45,0.0013583,2.2364e-05
400,24.0,0.585,0.0012872,2.1193e-05
400,24.0,0.72,0.0012197,2.0082e-05
400,42.0,0.18,0.0012585,2.0721e-05
400,42.0,0.315,0.0012888,2.1219e-05
400,42.0,0.45,0.0012714,2.0933e-05
400,42.0,0.585,0.0012355,2.0342e-05
400,42.0,0.72,0.0011929,1.9641e-05
